timestamp,agent.name,rule.description,rule.level,rule.id
"Sep 14, 2026 @ 15:52:12.887","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:52:09.892","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:52:09.883","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:52:06.463","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:51:09.863","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:51:09.861","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:50:09.866","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:50:09.865","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:49:39.640","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:49:39.632","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:49:09.893","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:49:09.891","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:49:08.850","Cyber-DC","Software protection service scheduled successfully.","3","60642"
"Sep 14, 2026 @ 15:48:11.426","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:48:09.840","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:48:09.838","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:48:01.285","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:48:00.711","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:48:00.669","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:48:00.668","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:48:00.666","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:48:00.664","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:48:00.658","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:48:00.654","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:48:00.649","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:47:55.349","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:47:12.467","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:47:12.465","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:47:12.461","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:47:12.460","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:47:09.837","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:47:09.836","Cyber-DC","Windows Logon Success","3","60106"
