timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Sep 14, 2026 @ 16:23:01.134","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:23:01.130","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:22:59.841","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:21:59.826","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:20:59.812","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:19:59.803","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:18:59.789","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:18:29.850","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:18:01.072","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:18:01.056","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:18:01.052","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:18:01.049","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:17:59.856","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:17:59.806","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:17:59.781","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:16:59.944","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:16:55.961","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
